path,class,note
/api/admin/account-security-copy,T,"review: likely tenant-scoped ops"
/api/admin/activity,T,"uses resolveAdminApiTenantId"
/api/admin/addons/[id],T,"review: likely tenant-scoped ops"
/api/admin/addons,T,"uses resolveAdminApiTenantId"
/api/admin/ads/campaigns/[id],T,"needs explicit tenant filter"
/api/admin/ads/campaigns,T,"needs explicit tenant filter"
/api/admin/ads/overview,T,"review: likely tenant-scoped ops"
/api/admin/analytics/fx-rate,T,"review: likely tenant-scoped ops"
/api/admin/analytics/geo,T,"uses resolveAdminApiTenantId"
/api/admin/analytics/previous-software,T,"uses resolveAdminApiTenantId"
/api/admin/analytics,T,"uses resolveAdminApiTenantId"
/api/admin/api-keys/[id],T,"review: likely tenant-scoped ops"
/api/admin/api-keys,T,"review: likely tenant-scoped ops"
/api/admin/app-version,T,"review: likely tenant-scoped ops"
/api/admin/audit-logs,T,"review: likely tenant-scoped ops"
/api/admin/automations,T,"review: likely tenant-scoped ops"
/api/admin/automations/stats,T,"needs explicit tenant filter"
/api/admin/bookings/[id]/cancel,T,"uses resolveAdminApiTenantId"
/api/admin/bookings/[id]/dispute/resolve,T,"uses resolveAdminApiTenantId"
/api/admin/bookings/[id]/dispute,T,"uses resolveAdminApiTenantId"
/api/admin/bookings/[id]/refund,T,"uses resolveAdminApiTenantId"
/api/admin/bookings/[id],T,"uses resolveAdminApiTenantId"
/api/admin/bookings/[id]/tracking,T,"uses resolveAdminApiTenantId"
/api/admin/bookings/bulk,T,"uses resolveAdminApiTenantId"
/api/admin/bookings,T,"uses resolveAdminApiTenantId"
/api/admin/bootstrap,U,"needs tenant review"
/api/admin/broadcast/[id],T,"review: likely tenant-scoped ops"
/api/admin/broadcast/audience-preview,T,"uses resolveAdminApiTenantId"
/api/admin/broadcast/email,U,"scoped"
/api/admin/broadcast/history,T,"review: likely tenant-scoped ops"
/api/admin/broadcast/push,T,"uses resolveAdminApiTenantId"
/api/admin/broadcast/sms,U,"scoped"
